KRAJ;LICZBA LUDNOSCI;SREDNIA TEMPERATURA;KLIMAT;SASIEDZI
Afganistan;38041754;16.2;suchy;Iran, Pakistan, Tadzykistan, Turkmenistan, Uzbekistan
Afryka Poludniowa;58558270;17.5;suchy i wilgotny;Botswana, Lesotho, Mozambik, Namibia, Suazi, Zimbabwe
Algeria;43000000;22.1;suchy i pustynny;Libia, Mali, Maroko, Niger, Sahara Zachodnia, Tunezja
Angola;31825295;22.5;wilgotny i suchy;Namibia, Zambia
Arabia Saudyjska;34218169;24.7;suchy i pustynny;Irak, Jordania, Kuwejt, Oman, Katar, Zjednoczone Emiraty Arabskie, Jemen
Argentyna;44938712;14.5;umiarkowany;Boliwia, Brazylia, Chile, Paragwaj, Urugwaj
Australia;25203198;22.4;suchy i pustynny;None
Austria;8902600;7.5;umiarkowany;Czechy, Niemcy, Wegry, Liechtenstein, Slowacja, Slowenia, Szwajcaria
Bialorus;9417849;5.5;umiarkowany;Lotwa, Litwa, Polska, Rosja, Ukraina
Belgia;11538079;9.9;umiarkowany;Francja, Luksemburg, Niemcy, Holandia
Boliwia;11513100;15.1;umiarkowany;Argentyna, Brazylia, Chile, Paragwaj, Peru
Botswana;2302878;22.7;suchy;Namibia, Poludniowa Afryka, Zimbabwe
Brazylia;211755692;25.0;wilgotny;Argentyna, Boliwia, Kolumbia, Gujana, Paragwaj, Peru, Surinam, Urugwaj, Wenezuela
Bulgaria;7000039;11.4;umiarkowany;Grecja, Macedonia Polnocna, Rumunia, Serbia, Turcja
Chile;19116209;9.5;umiarkowany;Argentyna, Boliwia, Peru
Chiny;1397981600;8.5;roznorodny;Afganistan, Bhutan, Indie, Kazachstan, Kirgistan, Laos, Mongolia, , Nepal, Korea Polnocna, Pakistan, Rosja, Tadzykistan, Wietnam
Chorwacja;4105267;12.5;umiarkowany;Bosnia i Hercegowina, Serbia, Slowenia
Cypr;1189265;20.5;srodziemnomorski;None
Czarnogora;622359;15.0;umiarkowany;Albania, Bosnia i Hercegowina, Chorwacja, Serbia
Czechy;10610055;7.0;umiarkowany;Austria, Niemcy, Polska, Slowacja
Dania;5806081;8.5;umiarkowany;Niemcy, Szwecja
Dominikana;10738958;26.6;wilgotny;Haiti
Egipt;100388073;22.0;suchy i pustynny;Izrael, Libia, Sudan
Ekwador;17370000;23.2;wilgotny;Kolumbia, Peru
Estonia;1325648;5.5;umiarkowany;Lotwa, Rosja
Etiopia;112078730;22.0;wilgotny;Dzibuti, Erytrea, Kenia, Somalia, Sudan Poludniowy, Sudan
Filipiny;108116615;26.6;wilgotny;Indonezja, Malezja
Finlandia;5520314;3.2;umiarkowany;Norwegia, Rosja, Szwecja
Francja;66 987 000;12.8;Oceaniczny;Andora, Belgia, Luksemburg, Monako, Niemcy, Hiszpania, Szwajcaria, Wlochy
Grecja;10 741 165;18.1;srodziemnomorski;Albania, Bulgaria, Macedonia Polnocna, Turcja
Gruzja;3 716 858;12.5;Kontynentalny;Armenia, Azerbejdzan, Rosja, Turcja
Hiszpania;47 367 000;18.5;srodziemnomorski;Andora, Francja, Gibraltar, Portugalia, Maroko
Holandia;17 411 692;9.6;Morski;Belgia, Niemcy
Indie;1 366 417 754;25.3;Tropikalny;Bangladesz, Bhutan, Chiny, Nepal, Pakistan
Indonezja;276 361 783;26.7;Tropikalny;Malezja,PapuaoNowa Gwinea, Timor Wschodni
Iran;83 992 949;16.7;Pustynny;Afganistan, Armenia, Azerbejdzan, Irak, Pakistan, Turcja, Turkmenistan
Irlandia;4937786;9.3;Morski klimat umiarkowany;Wielka Brytania
Islandia;343 518;5.5;Arktyczny;None
Izrael;8 884 000;20.9;Pustynny;Egipt, Jordania, Liban, Syria
Japonia;126 150 000;16.6;Morski;None
Jordania;10 489 000;20.8;Pustynny;Arabia Saudyjska, Irak, Izrael, Syria
Kambodza;16 718 965;27.3;Tropikalny;Laos, Tajlandia, Wietnam
Kamerun;27 223 188;24.7;Zwrotnikowy;Czad, Republika srodkowoafrykańska, Kongo, Ekwador, Gabon, Nigeria
Kanada;38 048 738;o5.1;Kontynentalny;USA
Kazachstan;18 845 550;3.2;Kontynentalny;Chiny, Kirgistan, Rosja, Turkmenistan, Uzbekistan
Kenia;53 771 296;22.3;Zwrotnikowy;Etiopia, Somalia, Sudan, Tanzania, Uganda
Kolumbia;49 661 048;24.5;Zwrotnikowy;Brazylia, Ekwador, Panama, Peru, Wenezuela
Korea Poludniowa;51 635 256;11.9;Kontynentalny;Korea Polnocna
Korea Polnocna;25 727 267;4.8;Kontynentalny;Korea Poludniowa, Chiny, Rosja
Kosowo;1 814 703;12.4;Kontynentalny;Albania, Czarnogora, Macedonia Polnocna, Serbia
Kuwejt;4 328 550;28.7;Pustynny;Arabia Saudyjska, Irak
Laos;7 123 205;24.6;Tropikalny;Kambodza, Chiny, Tajlandia, Wietnam
Lesotho;2 142 249;11.8;Klimat umiarkowany;Republika Poludniowej Afryki
Liban;6 855 713;20.6;srodziemnomorski;Izrael, Syria
Liberia;5057677;26.2;Tropikalny;Wybrzeze Kosci Sloniowej, Gwinea, Sierra Leone
Libia;6871292;24.1;Pustynny;Algieria, Czad, Egipt, Niger, Sudan, Tunezja
Litwa;2722289;6.8;Umiarkowany;Bialorus, Lotwa, Polska, Rosja
Luksemburg;626108;9.8;Umiarkowany;Belgia, Francja, Niemcy
Lotwa;1911800;6.2;Umiarkowany;Bialorus, Estonia, Litwa, Rosja
Macedonia Polnocna;2083160;13.3;Kontynentalny;Albania, Bulgaria, Grecja, Kosowo, Serbia
Malawi;19129952;22.7;Tropikalny;Mozambik, Tanzania, Zambia
Malezja;32722760;26.3;Zwrotnikowy;Brunei, Indonezja, Tajlandia
Mali;20250834;28.2;Pustynny;Algieria, Burkina Faso, Czad, Gwinea, Wybrzeze Kosci Sloniowej, Mauretania, Niger, Senegal
Maroko;36847542;19.9;srodziemnomorski;Algieria, Sahara Zachodnia, Hiszpania
Meksyk;126190788;21.8;Zwrotnikowy;Belize, Gwatemala, USA
Mongolia;3225167;o1.3;Kontynentalny;Chiny, Rosja
Mozambik;30066648;25.4;Tropikalny;Malawi, RPA, Suazi, Tanzania, Zambia, Zimbabwe
Namibia;2587801;19.7;Pustynny;Angola, Botswana, RPA, Zambia
Nepal;29913682;12.5;Himalajski;Chiny, Indie
Niemcy;83783942;9.6;Umiarkowany;Austria, Belgia, Czechy, Dania, Francja, Luksemburg, Holandia, Polska, Szwajcaria
