KRAJ;LICZBA LUDNOSCI;SREDNIA TEMPERATURA;KLIMAT;SASIEDZI
Afghanistan;38928341;16.2;Continental;Iran, Pakistan, Turkmenistan, Uzbekistan, Tajikistan, China
Albania;2877797;13.1;Mediterranean;Montenegro, Kosovo, North Macedonia, Greece
Algeria;43851044;23.9;Arid;Tunisia, Libya, Niger, Mali, Mauritania, Western Sahara, Morocco
Andorra;77265;11.5;Mediterranean;France, Spain
Angola;32866272;22.5;Tropical;Congo, Democratic Republic of the Congo, Zambia, Namibia
Antigua and Barbuda;97929;26.8;Tropical;None
Argentina;45195777;14.8;Various;Chile, Bolivia, Paraguay, Brazil, Uruguay
Armenia;2963234;11.8;Continental;Georgia, Azerbaijan, Iran, Turkey
Australia;25687041;22.0;Various;Indonesia, Papua New Guinea, East Timor
Austria;8997971;9.6;Continental;Germany, Czech Republic, Slovakia, Hungary, Slovenia, Italy, Switzerland, Liechtenstein
Azerbaijan;10139175;13.5;Continental;Georgia, Armenia, Iran, Turkey, Russia
Bahamas;392718;25.8;Tropical;Cuba, United States
Bahrain;1569439;26.9;Arid;Saudi Arabia, Qatar
Bangladesh;164689383;26.0;Tropical;India, Myanmar
Barbados;287371;26.4;Tropical;None
Belarus;9449323;7.6;Continental;Latvia, Lithuania, Poland, Russia, Ukraine
Belgium;11589623;10.5;Maritime;Netherlands, Germany, Luxembourg, France
Belize;397628;25.9;Tropical;Mexico, Guatemala
Benin;12123198;27.0;Tropical;Niger, Burkina Faso, Nigeria, Togo
Bhutan;771608;12.6;Subtropical;China, India
Bolivia;11673021;15.2;Various;Brazil, Paraguay, Argentina, Chile, Peru
Bosnia and Herzegovina;3280815;11.5;Continental;Croatia, Serbia, Montenegro
Botswana;2351627;21.5;Semi-arid;Namibia, South Africa, Zimbabwe
Brazil;212559417;24.7;Various;All South American countries except Chile and Ecuador
Brunei;459500;27.0;Tropical;Malaysia
Bulgaria;6948445;11.4;Continental;Romania, Serbia, North Macedonia, Greece, Turkey
Burkina Faso;20903273;28.3;Semi-arid;Mali, Niger, Benin, Togo, Ghana, Ivory Coast
Burundi;11890781;20.0;Subtropical;Rwanda, Tanzania, Democratic Republic of the Congo
Cambodia;16718971;26.0;Tropical;Thailand, Laos, Vietnam
Cameroon;26545863;24.6;Tropical;Nigeria, Chad, Central African Republic, Equatorial Guinea, Gabon, Republic of the Congo
Canada;37742154;5.6;Various;United States, Denmark (Greenland)
Cape Verde;549935;23.4;Tropical;None
Central African Republic;4829767;24.6;Tropical;Chad, Sudan, South Sudan, Democratic Republic of the Congo, Republic of the Congo, Cameroon
Chad;16425859;26.6;Desert;Libya, Sudan, Central African Republic, Cameroon, Nigeria, Niger
Chile;19116201;12.7;Various;Peru, Bolivia, Argentina
China;1444216107;12.6;Various;14 countries including Russia, India, Mongolia, Pakistan, Myanmar
